year,amount,inflation rate
1996,0.48,0.03
1997,0.49,0.02
1998,0.50,0.02
1999,0.51,0.02
2000,0.53,0.03
2001,0.54,0.03
2002,0.55,0.02
2003,0.56,0.02
2004,0.58,0.03
2005,0.60,0.03
2006,0.62,0.03
2007,0.63,0.03
2008,0.66,0.04
2009,0.66,-0.00
2010,0.67,0.02
2011,0.69,0.03
2012,0.70,0.02
2013,0.71,0.01
2014,0.72,0.02
2015,0.73,0.00
2016,0.73,0.01
2017,0.75,0.02
2018,0.77,0.02
2019,0.78,0.02
2020,0.79,0.01
2021,0.83,0.05
2022,0.90,0.08
2023,0.93,0.04
2024,0.96,0.03
2025,0.99,0.03
